Region,Name,count
OLTREFERSINA,Cupressus lusitanica,1
OLTREFERSINA,Cupressus sempervirens,38
OLTREFERSINA,Davidia involucrata,1
OLTREFERSINA,Diospyros kaki,3
OLTREFERSINA,Diospyros lotus,3
OLTREFERSINA,Elaeagnus,2
OLTREFERSINA,Elaeagnus pungens,7
OLTREFERSINA,Fagus,2
OLTREFERSINA,Fagus sylvatica,20
OLTREFERSINA,Ficus carica,5
OLTREFERSINA,Forsythia viridissima,1
OLTREFERSINA,Forsythia x intermedia,1
OLTREFERSINA,Fraxinus,3
OLTREFERSINA,Fraxinus angustifolia,26
OLTREFERSINA,Fraxinus excelsior,22
OLTREFERSINA,Fraxinus ornus,23
OLTREFERSINA,Ginkgo biloba,6
OLTREFERSINA,Gleditsia triacanthos,32
OLTREFERSINA,Ilex,1
OLTREFERSINA,Ilex aquifolium,1
OLTREFERSINA,Juglans,2
OLTREFERSINA,Juglans nigra,1
OLTREFERSINA,Juglans regia,3
OLTREFERSINA,Juniperus chinensis,6
OLTREFERSINA,Juniperus drupacea,4
OLTREFERSINA,Lagerstroemia,1
OLTREFERSINA,Lagerstroemia indica,6
OLTREFERSINA,Larix decidua,3
OLTREFERSINA,Laurus nobilis,1
OLTREFERSINA,Ligustrum lucidum,10
OLTREFERSINA,Liquidambar styraciflua,53
OLTREFERSINA,Liriodendron tulipifera,93
OLTREFERSINA,Magnolia,1
OLTREFERSINA,Morus,2
OLTREFERSINA,Morus alba,6
OLTREFERSINA,Morus nigra,12
OLTREFERSINA,Nerium oleander,1
OLTREFERSINA,Olea europaea,4
OLTREFERSINA,Osmanthus fragrans,1
OLTREFERSINA,Ostrya carpinifolia,17
OLTREFERSINA,Parrotia persica,6
OLTREFERSINA,Paulownia tomentosa,1
OLTREFERSINA,Philadelphus,3
OLTREFERSINA,Picea,2
OLTREFERSINA,Picea abies,50
OLTREFERSINA,Picea obovata,4
OLTREFERSINA,Picea pungens,10
OLTREFERSINA,Picea sitchensis,1
OLTREFERSINA,Pinus coulteri,1
OLTREFERSINA,Pinus nigra,145
OLTREFERSINA,Pinus strobus,13
OLTREFERSINA,Pinus sylvestris,6
OLTREFERSINA,Pinus wallichiana,3
OLTREFERSINA,Pittosporum tobira,1
OLTREFERSINA,Platanus,25
OLTREFERSINA,Platanus orientalis,1
OLTREFERSINA,Platanus x acerifolia 'Bloodgood',35
OLTREFERSINA,Platanus x hispanica,31
OLTREFERSINA,Populus,1
OLTREFERSINA,Populus alba,5
OLTREFERSINA,Populus nigra,5
OLTREFERSINA,Populus tremula,1
OLTREFERSINA,Prunus,8
OLTREFERSINA,Prunus avium,21
OLTREFERSINA,Prunus cerasifera,106
OLTREFERSINA,Prunus laurocerasus,5
OLTREFERSINA,Prunus mahaleb,3
OLTREFERSINA,Prunus serrulata,6
OLTREFERSINA,Pseudotsuga menziesii,9
OLTREFERSINA,Pterocarya,5
OLTREFERSINA,Pterocarya rhoifolia,3
OLTREFERSINA,Pyrus,8
OLTREFERSINA,Pyrus communis,4
OLTREFERSINA,Quercus,7
OLTREFERSINA,Quercus cerris,5
OLTREFERSINA,Quercus ilex,5
OLTREFERSINA,Quercus petraea,9
OLTREFERSINA,Quercus pubescens,1
OLTREFERSINA,Quercus robur,88
OLTREFERSINA,Quercus rubra,30
OLTREFERSINA,Robinia pseudoacacia,120
OLTREFERSINA,Salix,1
OLTREFERSINA,Salix alba,1
OLTREFERSINA,Salix magnifica,3
OLTREFERSINA,Sambucus nigra,5
OLTREFERSINA,Sequoiadendron giganteum,1
OLTREFERSINA,Sophora japonica,8
OLTREFERSINA,Sorbus,2
OLTREFERSINA,Sorbus aucuparia,4
OLTREFERSINA,Sorbus thuringiaca,2
OLTREFERSINA,Sorbus torminalis,3
OLTREFERSINA,Spiraea japonica,2
OLTREFERSINA,Syringa vulgaris,1
OLTREFERSINA,Taxodium distichum,3
OLTREFERSINA,Taxus baccata,5
OLTREFERSINA,Thuja,5
OLTREFERSINA,Thuja occidentalis,1
OLTREFERSINA,Thuja orientalis,4
OLTREFERSINA,Tilia,10
OLTREFERSINA,Tilia cordata,116
OLTREFERSINA,Tilia platyphyllos,9
OLTREFERSINA,Tilia tomentosa,1
OLTREFERSINA,Tilia x euchlora,9
OLTREFERSINA,Tilia x europaea,100
OLTREFERSINA,Tilia x vulgaris,2
OLTREFERSINA,Torreya nucifera,1
OLTREFERSINA,Ulmus,25
OLTREFERSINA,Ulmus glabra,11
OLTREFERSINA,Ulmus laevis,2
OLTREFERSINA,Ulmus minor,14
OLTREFERSINA,Ulmus pumila,1
OLTREFERSINA,Viburnum,2
OLTREFERSINA,Zanthoxylum flavum,1
POVO,Acer,1
POVO,Acer campestre,7
POVO,Acer palmatum,12
POVO,Acer pseudoplatanus,8
POVO,Aesculus hippocastanum,13
POVO,Betula,4
POVO,Betula pendula,3
POVO,Carpinus betulus,1
POVO,Cedrus deodara,3
POVO,Celtis australis,21
POVO,Corylus colurna,3
POVO,Corylus maxima,2
POVO,Cupressus,14
POVO,Cupressus sempervirens,4
POVO,Fagus sylvatica,1
POVO,Fraxinus angustifolia,1
POVO,Juglans,1
POVO,Liriodendron tulipifera,10
POVO,Malus,3
POVO,Ostrya carpinifolia,17
POVO,Parrotia persica,1
POVO,Pinus nigra,4
POVO,Pinus sylvestris,1
POVO,Platanus x hispanica,2
POVO,Prunus avium,23
POVO,Prunus cerasifera,1
POVO,Prunus serrulata,3
POVO,Sophora japonica,3
POVO,Sorbus,5
POVO,Tilia cordata,1
POVO,Tilia x europaea,16
RAVINA-ROMAGNANO,Abies alba,3
RAVINA-ROMAGNANO,Acer buergerianum,1
RAVINA-ROMAGNANO,Acer campestre,1
RAVINA-ROMAGNANO,Acer monspessulanum,6
RAVINA-ROMAGNANO,Acer negundo,1
RAVINA-ROMAGNANO,Acer platanoides,7
RAVINA-ROMAGNANO,Acer pseudoplatanus,4
RAVINA-ROMAGNANO,Acer saccharinum,1
RAVINA-ROMAGNANO,Aesculus hippocastanum,3
RAVINA-ROMAGNANO,Betula pendula,1
RAVINA-ROMAGNANO,Carpinus betulus,5
RAVINA-ROMAGNANO,Catalpa bignonioides,1
RAVINA-ROMAGNANO,Cedrus atlantica,1
RAVINA-ROMAGNANO,Cedrus deodara,6
RAVINA-ROMAGNANO,Celtis australis,15
RAVINA-ROMAGNANO,Clerodendrum trichotomum,10
RAVINA-ROMAGNANO,Corylus colurna,12
RAVINA-ROMAGNANO,Crataegus,1
RAVINA-ROMAGNANO,Cupressus,16
RAVINA-ROMAGNANO,Cupressus sempervirens,12
RAVINA-ROMAGNANO,Fraxinus,3
RAVINA-ROMAGNANO,Fraxinus americana,10
RAVINA-ROMAGNANO,Fraxinus angustifolia,3
RAVINA-ROMAGNANO,Fraxinus excelsior,5
RAVINA-ROMAGNANO,Ginkgo biloba,1
RAVINA-ROMAGNANO,Juglans nigra,1
RAVINA-ROMAGNANO,Ligustrum japonicum,2
RAVINA-ROMAGNANO,Ligustrum lucidum,1
RAVINA-ROMAGNANO,Liriodendron tulipifera,3
