Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,canopy_cov,index_right,numero_cir,area,perimetro,Region,fumetto
1042.0,Prunus serrulata,17,643.1799999999999,92.2,14.82,4.1,0.66,0,0.03,,,10.6,0.05,,0.74,11,4,1.2,3,7.1,7.3,0.6,46.06576193027288,11.15659297605275,POINT (11.15659297605275 46.06576193027288),7.1,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1213.0,Cupressus sempervirens,10,270.44,33.9,5.45,1.9,0.31,0,0.01,,,5.2,0.03,,0.34,5.1,8,2.4,1,0.8,3.6,0.8,46.06502290548681,11.15520910324168,POINT (11.15520910324168 46.06502290548681),0.8,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7596.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06495976872081,11.15490134880677,POINT (11.15490134880677 46.06495976872081),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7597.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06492594519293,11.15485027765049,POINT (11.15485027765049 46.06492594519293),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7598.0,Cupressus,26.2,1193.03,494.2,79.40000000000001,11.6,1.87,0,0.04,,,16.7,0.09,,1.99,31,8.6,2.6,2.3,4.3,11.5,2.7,46.06499866708015,11.15521157926282,POINT (11.15521157926282 46.06499866708015),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7599.0,Cupressus,26.2,1193.03,494.1,79.38,11.6,1.87,0,0.04,,,15.5,0.08,,1.98,31,8.6,2.6,2.3,4.3,10.7,2.5,46.06498401621794,11.155544473019,POINT (11.155544473019 46.06498401621794),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7600.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06496461168621,11.15485359298521,POINT (11.15485359298521 46.06496461168621),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7601.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06492548336838,11.15490005296869,POINT (11.15490005296869 46.06492548336838),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7611.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06464119026055,11.15466072193889,POINT (11.15466072193889 46.06464119026055),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
7612.0,Cupressus,26.2,1193.03,494.3,79.41,11.6,1.87,0,0.04,,,17.9,0.09,,2,31,8.6,2.6,2.3,4.3,12.3,2.9,46.0645738583335,11.15552000722154,POINT (11.15552000722154 46.0645738583335),4.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
