Tree Type,ARGENTARIO,BONDONE,CENTRO STORICO PIEDICASTELLO,GARDOLO,MATTARELLO,MEANO,OLTREFERSINA,POVO,RAVINA-ROMAGNANO,S.GIUSEPPE-S.CHIARA,SARDAGNA,VILLAZZANO,Tree Type Grand Total
Acer tataricum,0,0,1,0,0,0,0,0,0,0,0,0,1
Aesculus,0,0,0,0,0,0,0,0,0,1,0,0,1
Alnus cordata,0,0,1,0,0,0,0,0,0,0,0,0,1
Betula lenta,0,0,1,0,0,0,0,0,0,0,0,0,1
Calocedrus decurrens,0,0,0,0,0,0,1,0,0,0,0,0,1
Catalpa,0,0,0,1,0,0,0,0,0,0,0,0,1
Cornus nuttallii,0,0,1,0,0,0,0,0,0,0,0,0,1
Eucalyptus cordata,0,0,0,0,0,0,0,0,0,1,0,0,1
Forsythia viridissima,0,0,0,0,0,0,1,0,0,0,0,0,1
Forsythia x intermedia,0,0,0,0,0,0,1,0,0,0,0,0,1
Laburnum anagyroides,0,0,1,0,0,0,0,0,0,0,0,0,1
Lagerstroemia,0,0,0,0,0,0,1,0,0,0,0,0,1
Magnolia kobus,0,0,1,0,0,0,0,0,0,0,0,0,1
Picea sitchensis,0,0,0,0,0,0,1,0,0,0,0,0,1
Pinus bungeana,0,0,0,0,0,0,0,0,0,1,0,0,1
Pinus cembra,0,0,0,0,0,0,0,0,0,1,0,0,1
Prunus amygdalus,1,0,0,0,0,0,0,0,0,0,0,0,1
Prunus lusitanica,0,0,1,0,0,0,0,0,0,0,0,0,1
Rhus typhina,0,0,1,0,0,0,0,0,0,0,0,0,1
Sequoia sempervirens,1,0,0,0,0,0,0,0,0,0,0,0,1
Syringa vulgaris,0,0,0,0,0,0,1,0,0,0,0,0,1
Tamarix gallica,0,0,0,0,0,0,0,0,1,0,0,0,1
Torreya nucifera,0,0,0,0,0,0,1,0,0,0,0,0,1
Zanthoxylum flavum,0,0,0,0,0,0,1,0,0,0,0,0,1
