Name,Size,Carbon,Canopy
Tilia x vulgaris,15.936842105263159,55.70526315789474,6.231578947368421
Torreya nucifera,44.0,941.0,28.3
Ulmus,54.89411764705882,2120.794117647059,81.9627450980392
Ulmus glabra,63.07692307692308,1791.9884615384615,57.61923076923077
Ulmus laevis,39.5,880.1666666666666,28.8
Ulmus minor,54.93478260869565,2542.0456521739134,62.654347826086955
Ulmus pumila,68.0,1785.207142857143,105.07142857142857
Viburnum,28.2,285.2,21.7
Viburnum sieboldii,28.2,285.2,21.7
Wisteria sinensis,28.2,233.3,21.7
Zanthoxylum flavum,28.2,334.4,21.7
Zelkova carpinifolia,7.4,12.239999999999998,0.8
